road_number,road_name,hierarchy,route_num,distinct_names
04492,"Tippett Road",Arterial,B31,1
04495,"Onkaparinga Valley Road",Arterial,B34,3
04496,"Kenton Valley Road",Sub-arterial,,3
04498,"Cudlee Creek Road",Sub-arterial,,2
04500,"South Eastern Freeway",Highway,M1,2
04504,"Verdun Ramp To Adelaide",Arterial,,1
04505,"Verdun Ramp From Adelaide",Arterial,,1
04507,"Woodside Road",Sub-arterial,,1
04510,"Nairne Road",Sub-arterial,,1
04513,"Nairne Road",Sub-arterial,,2
04514,"Mount Osmond Interchange Road",Sub-arterial,,1
04515,"Old Princes Highway",Sub-arterial,B34,2
04516,"Echunga Road",Arterial,B34,2
04521,"Crafers Ramp From Adelaide",Sub-arterial,,1
04522,"Crafers Ramp To Swanport",Sub-arterial,,1
04523,"Crafers Ramp From Swanport",Sub-arterial,,1
04524,"Crafers Ramp To Adelaide",Sub-arterial,,1
04531,"Stirling Ramp From Adelaide",Arterial,,1
04532,"Stirling Ramp To Swanport",Arterial,B33,1
04533,"Stirling Ramp From Swanport",Arterial,,1
04534,"Stirling Ramp To Adelaide",Arterial,,1
04541,"Bridgewater Ramp From Adelaide",Sub-arterial,,1
04542,"Bridgewater Ramp To Swanport",Sub-arterial,,1
04543,"Bridgewater Ramp From Swanport",Sub-arterial,,1
04544,"Bridgewater Ramp To Adelaide",Sub-arterial,,1
04551,"Mount Barker Ramp From Adelaide",Arterial,,1
04552,"Mount Barker Ramp To Swanport",Arterial,,1
04553,"Mount Barker Ramp From Swanport",Arterial,,1
04554,"Mount Barker Ramp To Adelaide",Arterial,,1
04561,"Callington Ramp From Adelaide",Sub-arterial,,1
04562,"Callington Ramp To Swanport",Sub-arterial,,1
04563,"Callington Ramp From Swanport",Sub-arterial,,1
04564,"Callington Ramp To Adelaide",Sub-arterial,,1
04571,"Adelaide Road",Arterial,,1
04572,"Adelaide Road",Arterial,,1
04581,"Swanport Ramp From Adelaide",Arterial,,1
04582,"Swanport Ramp To Tailem Bend",Arterial,,1
04585,"Mount Osmond Ramp From Adelaide",Sub-arterial,,1
04586,"Mount Osmond Ramp To Swanport",Sub-arterial,,1
04587,"Mount Osmond Ramp From Swanport",Sub-arterial,,1
04588,"Mount Osmond Ramp To Adelaide",Sub-arterial,,1
04589,"Mount Barker Road",Sub-arterial,,1
04590,"Mount Barker Road",Sub-arterial,,1
04591,"Measdays Ramp To Swanport",Sub-arterial,,1
04592,"Measdays Ramp From Swanport",Sub-arterial,,1
04600,"Black Road",Sub-arterial,,1
04601,"Flagstaff Road",Sub-arterial,A14,2
04603,"Happy Valley Drive",Sub-arterial,,1
04604,"Manning Road",Sub-arterial,,1
04606,"Chandlers Hill Road",Sub-arterial,,1
04607,"Sugarloaf Road",Sub-arterial,,1
04609,"Kenihans Road",Sub-arterial,,1
04615,"Grants Gully Road",Sub-arterial,,1
04621,"Mclaren Flat Road",Sub-arterial,,3
04640,"Bull Creek Road",Sub-arterial,B29,10
04643,"Strathalbyn Road",Arterial,B33,6
04646,"Adelaide Road",Arterial,B37,3
04649,"East Terrace",Arterial,B37,1
04652,"Callington Road",Sub-arterial,B37,5
04655,"Battunga Road",Arterial,B34,1
04658,"Kondoparinga Road",Sub-arterial,,1
04661,"Macclesfield Road",Sub-arterial,,2
04664,"Brookman Road",Arterial,B34,1
04665,"Woodgate Hill Road",Arterial,B34,1
04667,"Wickham Hill Road",Sub-arterial,,1
04670,"Ashbourne Road",Sub-arterial,,1
04673,"Paris Creek Road",Sub-arterial,,3
04679,"Milang Road",Sub-arterial,,2
04682,"Langhorne Creek Road",Arterial,B45,3
04685,"Goolwa Road",Sub-arterial,,1
04688,"Port Elliot Road",Arterial,B37,4
04691,"Airport Road",Sub-arterial,,2
04760,"Victor Harbor Road",Highway,A13,4
04763,"Main South Road",Arterial,B23,3
04766,"Main Road",Sub-arterial,,1
04769,"Tatachilla Road",Sub-arterial,A15,2
04778,"Port Road",Sub-arterial,,1
04781,"Aldinga Road",Sub-arterial,,1
04782,"Willunga Ramp From Adelaide",Sub-arterial,,1
04783,"Willunga Ramp To Victor Harbor",Sub-arterial,,1
04784,"Aldinga Beach Road",Sub-arterial,,1
04785,"Willunga Ramp To Adelaide",Sub-arterial,,1
04786,"Willunga Ramp To Willunga",Sub-arterial,,1
04787,"Pages Flat Road",Arterial,B34,1
04790,"Hindmarsh Tiers Road",Sub-arterial,,1
04793,"Inman Valley Road",Sub-arterial,B37,4
04879,"Playford Highway",Sub-arterial,,1
04880,"Playford Highway",Sub-arterial,B23,3
04881,"West End Highway",Sub-arterial,,1
04882,"South Coast Road",Sub-arterial,,3
04883,"Hog Bay Road",Arterial,B23,3
04884,"Middle Terrace",Arterial,,1
04886,"American River Road",Sub-arterial,,3
05000,"Angle Vale Road",Sub-arterial,,2
05003,"Gawler Road",Sub-arterial,,1
05006,"Heaslip Road",Sub-arterial,,1
05009,"Andrews Road",Sub-arterial,,1
05010,"Curtis Road",Sub-arterial,,1
05012,"Dalkeith Road",Sub-arterial,,1
05015,"Gawler-one Tree Hill Road",Sub-arterial,,4
05018,"Womma Road",Sub-arterial,,2
05021,"Penfield Road",Sub-arterial,,1
05027,"Peachey Road",Sub-arterial,,3
05030,"Elizabeth Way",Sub-arterial,,2
05033,"Midway Road",Sub-arterial,,1
05036,"Yorktown Road",Sub-arterial,,3
05039,"Black Top Road",Sub-arterial,,1
05042,"One Tree Hill Road",Sub-arterial,,1
05045,"Philip Highway",Sub-arterial,,1
05048,"John Rice Avenue",Arterial,A9,1
05051,"Gawler Street",Sub-arterial,,1
05054,"Commercial Road",Sub-arterial,,1
05057,"Commercial Road",Sub-arterial,,1
05060,"Bagster Road",Sub-arterial,,1
05063,"Waterloo Corner Road",Sub-arterial,,3
05066,"Bolivar Road",Sub-arterial,A18,1
05200,"Golden Grove Road",Sub-arterial,,1
05201,"The Grove Way",Sub-arterial,A11,2
05202,"The Golden Way",Sub-arterial,,1
05204,"Grenfell Road",Sub-arterial,,1
05206,"Hancock Road",Sub-arterial,A11,1
05209,"Range Road South",Sub-arterial,,1
05212,"Reservoir Road",Sub-arterial,,1
05215,"Smart Road",Sub-arterial,,1
05218,"Grand Junction Road",Arterial,A16,1
05221,"Lower North East Road",Arterial,A11,3
05224,"Torrens Hill Road",Sub-arterial,,1
05227,"Awoonga Road",Sub-arterial,,1
05230,"Lyons Road",Sub-arterial,,1
05232,"Lower North East Road",Arterial,A16,1
05300,"Northern Expressway",Highway,M2,2
