road_number,road_name,hierarchy,route_num,distinct_names
17078,"Wilpena Pound Road",Sub-arterial,,1
17111,"Natabra Well Road",Sub-arterial,,3
17125,"High Street",Sub-arterial,,1
17127,"West Terrace",Sub-arterial,,1
18000,"Tea Tree Road",Sub-arterial,,1
18003,"Erudina Road",Sub-arterial,,1
22000,"Skull Camp Tanks Road",Sub-arterial,,1
22003,"Gawler Ranges Road",Sub-arterial,,2
22010,"Port Kenny Road",Sub-arterial,,2
22011,"Barns Road",Sub-arterial,,2
22018,"Buckleboo Road",Sub-arterial,,2
22021,"Thevenard Road",Sub-arterial,,3
22030,"Mckenzie Street",Sub-arterial,,1
22033,"Museum Terrace",Sub-arterial,,1
22041,"Gawler Ranges Road",Sub-arterial,,1
22044,"Bay Road",Arterial,,2
24009,"Esplanade",Sub-arterial,,2
24021,"Proper Bay Road",Sub-arterial,,2
24100,"Glover Road",Sub-arterial,,1
26014,"Mangalo Road",Sub-arterial,,1
26030,"Railway Terrace",Arterial,,2
28000,"Railway Terrace",Sub-arterial,,1
28009,"Iron Baron Road",Sub-arterial,,2
28015,"Point Lowly Road",Sub-arterial,,1
28016,"Point Lowly Road",Sub-arterial,,1
28018,"Nonning Road",Sub-arterial,,2
28091,"Mcdouall Stuart Avenue",Sub-arterial,,1
30024,"Silo Road",Arterial,B83,1
31612,"Hammond Road",Sub-arterial,,1
31615,"Booleroo Road",Sub-arterial,,1
33215,"Price Maurice Road",Sub-arterial,,3
33218,"Appila-laura Road",Sub-arterial,,2
33226,"Appila-laura Road",Sub-arterial,,1
33259,"Price Maurice Road",Sub-arterial,,2
33272,"Appila-tarcowie Road",Sub-arterial,,1
34827,"Gladstone Street",Sub-arterial,,3
34830,"Cross Street",Sub-arterial,,1
36839,"Ludgvan Street",Arterial,B64,2
38407,"Jolly Way",Sub-arterial,,1
38612,"Farrell Flat Road",Sub-arterial,,2
40018,"Brentwood Road",Sub-arterial,,2
40024,"Lime Kiln Road",Sub-arterial,,2
40027,"Port Vincent Road",Sub-arterial,,1
40163,"Ardrossan Road",Sub-arterial,,2
40180,"Adelaide Road",Sub-arterial,,3
41200,"Main Street",Sub-arterial,,1
41203,"Silo Road",Sub-arterial,,1
41206,"Bowman Road",Sub-arterial,,3
41209,"Fairway Drive",Sub-arterial,,1
41215,"Minnie Terrace",Sub-arterial,,3
41218,"Coast Road",Sub-arterial,,1
41221,"Bay Road",Sub-arterial,,1
41222,"Arthurton Road",Sub-arterial,,3
41230,"Kadina-cunliffe Road",Sub-arterial,,3
41268,"Thrington Road",Sub-arterial,,1
41270,"Thrington Road",Sub-arterial,,1
41388,"Moonta-wallaroo Road",Sub-arterial,,2
42404,"Wallace Street",Sub-arterial,,1
43612,"Sir Condor Laucke Way",Sub-arterial,,4
43613,"Greenock Ramp From Adelaide",Sub-arterial,,1
43618,"Gomersal Road",Sub-arterial,,1
43624,"Trotting Track Rd Gawler",Sub-arterial,,1
43630,"Gray Street",Sub-arterial,,2
43701,"Brooks Road",Sub-arterial,,1
43703,"Old Port Wakefield Road",Sub-arterial,B77,1
43705,"Old Port Wakefield Road",Sub-arterial,,1
44800,"Forreston Road",Sub-arterial,,2
44803,"Tungkillo Road",Arterial,B35,1
44806,"Reedy Creek Road",Arterial,B35,1
44809,"Junction Road",Sub-arterial,,1
44815,"Pyrites Road",Sub-arterial,,1
44816,"Alexandrina Road",Sub-arterial,,1
44818,"Bald Hills Road",Sub-arterial,,1
44821,"Flaxley Road",Sub-arterial,,1
44824,"Church Hill Road",Sub-arterial,,1
44825,"Meadows Road",Sub-arterial,,1
44827,"Wellington Road",Sub-arterial,,1
44830,"River Road",Sub-arterial,,1
44836,"West Terrace",Sub-arterial,,1
44873,"Seal Bay Road",Sub-arterial,,1
46400,"Rankine Street",Sub-arterial,,1
46412,"Finniss-milang Road",Sub-arterial,,3
46424,"Randell Road",Sub-arterial,,5
46430,"Meechi Road",Sub-arterial,,1
46431,"Lake Road",Sub-arterial,,3
46432,"Clayton-milang Road",Sub-arterial,,2
46515,"Brinkley Road",Sub-arterial,,1
46850,"Nangkita Road",Sub-arterial,,1
47606,"Parawa Road",Sub-arterial,,2
47609,"Finniss Vale Drive",Sub-arterial,,1
47613,"Bay Road",Arterial,B37,1
47615,"Range Road",Arterial,B37,4
47619,"Mill Road",Sub-arterial,,1
47621,"Seaview Road",Sub-arterial,,2
47660,"Old Willunga Hill Road",Sub-arterial,,2
47661,"Mclaren Vale Ramp From Adelaide",Sub-arterial,,1
47662,"Mclaren Vale Ramp From Willunga",Sub-arterial,,1
47665,"Mclaren Vale Ramp To Adelaide",Sub-arterial,,1
47666,"Mclaren Vale Ramp From Victor Harbor",Sub-arterial,,1
48800,"Commercial Street",Arterial,,1
50000,"Anderson Walk",Sub-arterial,,1
50018,"Womma West Road",Sub-arterial,,1
50630,"Saints Road",Sub-arterial,,1
50631,"Fenden Road",Sub-arterial,,1
50632,"Cross Keys Road",Sub-arterial,,1
50633,"Winzor Street",Sub-arterial,,2
50654,"Taylors Road",Sub-arterial,,1
50698,"Gawler River Road",Sub-arterial,,1
50699,"Riverlea Boulevard",Sub-arterial,,1
52000,"Paracombe Road",Sub-arterial,,1
52021,"Target Hill Road",Sub-arterial,,1
52025,"Kelly Road",Sub-arterial,,1
52026,"Tolley Road",Sub-arterial,,1
52027,"Valley Road",Sub-arterial,,1
52040,"Grenfell Road",Sub-arterial,,1
53000,"Haydown Road",Sub-arterial,,1
53002,"Fairfield Road",Sub-arterial,,1
53003,"Swan Crescent",Sub-arterial,,1
53005,"Uley Road",Sub-arterial,,1
53006,"Hogarth Road",Sub-arterial,,2
53008,"Adams Road",Sub-arterial,,1
53012,"Coventry Road",Sub-arterial,,1
53019,"Green Valley Drive",Sub-arterial,,1
53023,"Crittenden Road",Sub-arterial,,1
53024,"Ifould Road",Sub-arterial,,1
53027,"Adams Road",Sub-arterial,,1
53030,"Craigmore Road",Sub-arterial,,1
53306,"Waterloo Corner Road",Sub-arterial,,1
54000,"Wright Road",Sub-arterial,,1
54003,"South Terrace",Sub-arterial,,1
54009,"Bedford Street",Sub-arterial,,1
54012,"Crozier Street",Sub-arterial,,1
54031,"Louisa Road",Arterial,,1
54033,"Grand Trunkway",Sub-arterial,,1
54040,"Milne Road",Sub-arterial,,1
54041,"Milne Road",Sub-arterial,,1
54123,"Maxwell Road",Sub-arterial,,1
54277,"Wauwa Street",Sub-arterial,,1
56001,"Walkerville Terrace",Arterial,,1
56036,"South Road",Sub-arterial,A2,1
56441,"Hanson Road",Sub-arterial,,1
58006,"Jetty Road",Sub-arterial,,1
58017,"Pelican Point Road",Sub-arterial,,1
58271,"Military Road",Sub-arterial,,1
60000,"Moules Road",Sub-arterial,,1
60003,"Glen Stuart Road",Sub-arterial,,1
60006,"Morialta Road",Sub-arterial,,1
60007,"Maryvale Road",Sub-arterial,,1
60009,"Old Norton Summit Road",Sub-arterial,B27,2
60012,"Marble Hill Road",Sub-arterial,,1
61461,"Fullarton Road",Arterial,,1
62041,"North South Mwy Northbound Off Ramp To Regency Rd",Highway,,1
62042,"North South Mwy Southbound On Ramp From Regency Rd",Highway,,1
63000,"Piccadilly Road",Sub-arterial,,2
63005,"Mount Barker Road",Sub-arterial,,1
63030,"Mount Lofty Summit Access Road",Sub-arterial,,1
64611,"Southern Expressway On Ramp From Ayliffes Rd Ramp",Arterial,,1
64612,"South Road Off Ramp To Ayliffes Road Ramp",Arterial,,1
64671,"Shepherds Hill Road Ramp To South Road Ramp",Sub-arterial,,1
65800,"Jetty Road",Sub-arterial,,1
65900,"Africaine Road",Sub-arterial,,1
65920,"James Melrose Road",Sub-arterial,,2
66040,"The Cove Road",Sub-arterial,,1
66041,"Lander Road",Sub-arterial,,1
66080,"Miller Street",Sub-arterial,,1
67100,"Southbound Avenue",Sub-arterial,,1
67101,"Sandpiper Crescent",Sub-arterial,,1
67102,"Hub Drive",Sub-arterial,,1
67104,"Grant Road",Sub-arterial,,1
67108,"Penneys Hill Road",Sub-arterial,,1
67109,"States Road",Sub-arterial,,1
67110,"Bains Road",Sub-arterial,,1
67111,"Windebanks Road",Sub-arterial,,1
67112,"Taylors Road West",Sub-arterial,,1
67171,"Reynell Road",Sub-arterial,,1
67172,"Byards Road",Sub-arterial,,1
67200,"Old South Road",Sub-arterial,,1
67261,"Brodie Road",Sub-arterial,,1
67262,"Honeypot Road",Sub-arterial,,1
67801,"Southern Expressway Off Ramp To Tonsley Blvd Ramp",,,1
67802,"Southern Expressway On Ramp From Flinders Dri Ramp",Arterial,,1
67804,"Southern Expressway On Ramp From Main South Ramp",Arterial,A13,1
67805,"Southern Expressway Off Ramp To Flinders Driv Ramp",Arterial,,1
67806,"Southern Expressway Off Ramp At Bedford Park Ramp",Arterial,,1
68600,"Griffiths Drive",Sub-arterial,,1
68603,"Patapinda Road",Sub-arterial,,1
70000,"Murtho Road",Sub-arterial,,1
70001,"Lindsay Point Road",Sub-arterial,,1
70031,"Strangman Road",Sub-arterial,,1
70050,"Kokoda Terrace",Arterial,,1
72000,"Old Sturt Highway",Arterial,B201,3
72600,"Murraylands Road",Sub-arterial,,1
72603,"Nildottie Road",Sub-arterial,,2
72608,"Murraylands Road",Sub-arterial,,2
73895,"Purnong Road",Sub-arterial,,1
75101,"Kulde Road",Sub-arterial,,2
76200,"Ferries Mcdonald Road",Sub-arterial,,1
76201,"Hindmarsh Road",Sub-arterial,,1
78303,"Narrung Road",Sub-arterial,,1
80000,"Emu Flat Road",Sub-arterial,,1
80003,"Naracoorte Road",Sub-arterial,,2
81602,"Cannawigara Road",Sub-arterial,,1
81603,"Cannawigara Road",Sub-arterial,,1
81609,"Six Mile Well Road",Arterial,,1
81612,"Padthaway Road",Sub-arterial,,2
81613,"Meatworks Road",Sub-arterial,,1
84809,"Cameron Street",Sub-arterial,,1
84812,"Gordon Street",Sub-arterial,,1
84815,"Dergholm Road",Sub-arterial,,1
84870,"Robe Road",Sub-arterial,C198,1
86410,"Riddoch Street",Sub-arterial,,1
86418,"Glencoe West Road",Sub-arterial,,1
86424,"Wandilo Forest Road",Sub-arterial,,1
88206,"Eight Mile Creek Road",Sub-arterial,,2
